Window_5yr,Month,Value
2000-2004,January,30.481485948618985
2000-2004,February,27.532281912272055
2000-2004,March,29.239591981971298
2000-2004,April,27.95362389219376
2000-2004,May,28.37385542168675
2000-2004,June,30.096433770014556
2000-2004,July,30.408795365882494
2000-2004,August,30.938448864305048
2000-2004,September,31.41079372512292
2000-2004,October,31.553100416473853
2000-2004,November,29.936435201503937
2000-2004,December,29.644816530103313
2005-2009,January,18.495251017639077
2005-2009,February,17.502757099531294
2005-2009,March,18.02095009340806
2005-2009,April,17.282561009048532
2005-2009,May,17.023422691578663
2005-2009,June,17.4280658772288
2005-2009,July,17.793238146551722
2005-2009,August,18.304113283884018
2005-2009,September,19.51974573978902
2005-2009,October,20.346
2005-2009,November,19.675894665766375
2005-2009,December,19.088901236282815
2010-2014,January,23.091790480987157
2010-2014,February,22.031361097003554
2010-2014,March,23.532580684746595
2010-2014,April,23.831380539989812
2010-2014,May,25.34721189591078
2010-2014,June,26.82453531598513
2010-2014,July,28.500610053684724
2010-2014,August,28.89338549944981
2010-2014,September,31.834871180347513
2010-2014,October,33.68785226046288
2010-2014,November,31.232422586520947
2010-2014,December,30.770052148000993
2015-2019,January,86.68644578313253
2015-2019,February,92.20249695493301
2015-2019,March,91.23724792408066
2015-2019,April,88.03426395939087
2015-2019,May,89.71184803605924
2015-2019,June,106.17201743955609
2015-2019,July,115.04587155963303
2015-2019,August,133.38319591676483
2015-2019,September,139.64357976653696
2015-2019,October,127.42123552123552
2015-2019,November,119.9001208215868
2015-2019,December,90.69527363184079
